"Year";"Site";"Country";"Vehicle";"Family";"Remarks";"Success"
"1957";"Ba Ba LC-1/5";"USSR/Russia";"Sputnik (1)";"R-7";"";"True"
"1957";"Ba Ba LC-1/5";"USSR/Russia";"Sputnik (1)";"R-7";"";"True"
"1957";"CC LC-18A";"USA";"Vanguard";"";"failure";"False"
"1958";"CC LC-26A";"USA";"Juno-1";"";"";"True"
"1958";"CC LC-18A";"USA";"Vanguard";"";"failure";"False"
"1958";"CC LC-26A";"USA";"Juno-1";"";"failure";"False"
"1958";"CC LC-18A";"USA";"Vanguard";"";"";"True"
"1958";"CC LC-5";"USA";"Juno-1";"";"";"True"
"1958";"Ba Ba LC-1/5";"USSR/Russia";"Sputnik (2)";"R-7";"failure";"False"
"1958";"CC LC-18A";"USA";"Vanguard";"";"failure";"False"
"1958";"Ba Ba LC-1/5";"USSR/Russia";"Sputnik (2)";"R-7";"";"True"
"1958";"CC LC-18A";"USA";"Vanguard";"";"failure";"False"
"1958";"CC LC-18A";"USA";"Vanguard";"";"failure";"False"
"1958";"In  F-4D";"USA";"Pilot (NOTS-EV-1)";"";"failure ?";"False"
"1958";"CC LC-5";"USA";"Juno-1";"";"";"True"
"1958";"In  F-4D";"USA";"Pilot (NOTS-EV-1)";"";"failure";"False"
"1958";"CC LC-17A";"USA";"Thor-DM18 Able-1";"";"failure";"False"
"1958";"In  F-4D";"USA";"Pilot (NOTS-EV-1)";"";"failure ?";"False"
"1958";"CC LC-5";"USA";"Juno-1";"";"failure";"False"
"1958";"In  F-4D";"USA";"Pilot (NOTS-EV-1)";"";"failure";"False"
"1958";"In  F-4D";"USA";"Pilot (NOTS-EV-1)";"";"failure";"False"
"1958";"In  F-4D";"USA";"Pilot (NOTS-EV-1)";"";"failure";"False"
"1958";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-L";"R-7";"failure";"False"
"1958";"CC LC-18A";"USA";"Vanguard";"";"failure";"False"
"1958";"CC LC-17A";"USA";"Thor-DM18 Able-1";"";"partial failure";"False"
"1958";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-L";"R-7";"failure";"False"
"1958";"CC LC-5";"USA";"Juno-1 (5 St.)";"";"failure";"False"
"1958";"CC LC-17A";"USA";"Thor-DM18 Able-1";"";"failure";"False"
"1958";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-L";"R-7";"failure";"False"
"1958";"CC LC-5";"USA";"Juno-2";"";"";"True"
"1958";"CC LC-11";"USA";"Atlas-B (mod.)";"Atlas";"";"True"
"1959";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-L";"R-7";"";"True"
"1959";"Va 75-3-4";"USA";"Thor-DM18 Agena-A";"";"failure before launch";"False"
"1959";"CC LC-18A";"USA";"Vanguard";"";"";"True"
"1959";"Va 75-3-4";"USA";"Thor-DM18 Agena-A";"";"failure";"False"
"1959";"CC LC-5";"USA";"Juno-2";"";"";"True"
"1959";"Va 75-3-4";"USA";"Thor-DM18 Agena-A";"";"";"True"
"1959";"CC LC-18A";"USA";"Vanguard";"";"failure";"False"
"1959";"Va 75-3-4";"USA";"Thor-DM18 Agena-A";"";"failure";"False"
"1959";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-L";"R-7";"failure";"False"
"1959";"CC LC-18A";"USA";"Vanguard";"";"failure";"False"
"1959";"Va 75-3-5";"USA";"Thor-DM18 Agena-A";"";"failure";"False"
"1959";"CC LC-5";"USA";"Juno-2";"";"failure";"False"
"1959";"CC LC-17A";"USA";"Thor-DM18 Able-3";"";"";"True"
"1959";"Va 75-3-4";"USA";"Thor-DM18 Agena-A";"";"";"True"
"1959";"CC LC-26B";"USA";"Juno-2 (3 St.)";"";"failure";"False"
"1959";"Va 75-3-5";"USA";"Thor-DM18 Agena-A";"";"";"True"
"1959";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-L";"R-7";"";"True"
"1959";"CC LC-17A";"USA";"Thor-DM18 Able-2 (mod.)";"";"failure";"False"
"1959";"CC LC-18A";"USA";"Vanguard (mod.)";"";"partial failure";"False"
"1959";"CC LC-14";"USA";"Atlas-C Able";"Atlas";"failure before launch";"False"
"1959";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-L";"R-7";"";"True"
"1959";"CC LC-5";"USA";"Juno-2";"";"";"True"
"1959";"Va 75-3-4";"USA";"Thor-DM18 Agena-A";"";"";"True"
"1959";"Va 75-3-5";"USA";"Thor-DM18 Agena-A";"";"partial failure";"False"
"1959";"CC LC-14";"USA";"Atlas-D Able";"Atlas";"failure";"False"
"1960";"Va 75-3-4";"USA";"Thor-DM18 Agena-A";"";"failure";"False"
"1960";"Va 75-3-5";"USA";"Thor-DM18 Agena-A";"";"failure";"False"
"1960";"CC LC-14";"USA";"Atlas-LV3 Agena-A";"Atlas";"failure";"False"
"1960";"CC LC-17A";"USA";"Thor-DM18 Able-4";"";"";"True"
"1960";"CC LC-26B";"USA";"Juno-2";"";"failure";"False"
"1960";"CC LC-17A";"USA";"Thor-DM18 Able-2 (mod.)";"";"";"True"
"1960";"CC LC-17B";"USA";"Thor-DM21 Able-Star";"";"";"True"
"1960";"Va 75-3-5";"USA";"Thor-DM18 Agena-A";"";"";"True"
